"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2sV0ySwI5LwahWyjoeeT2S","Schwarze Madonna","spotify:artist:4W9Qd21A3mUPFufnSvdFWK","Frank Galan","spotify:album:3qPHpXUAI2yKGVNqEKxKn7","Ich kenn´all deine heimlichen Träume","spotify:artist:4W9Qd21A3mUPFufnSvdFWK","Frank Galan","2010-02-11","https://i.scdn.co/image/ab67616d0000b2731ea3d2e2ef4b70ea581cf49a","1","11","200613","https://p.scdn.co/mp3-preview/0d194f857cb3a5a01b6c4e1f263dbcfcd143e03e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","ATM051001011","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7oAXXBbq7S1xxuquAusQbu","Vortex Studies - 1","spotify:artist:3IUSkU24GuugkT7GDUlP9b","Mark Fell","spotify:album:25jlMV8g3JYADMXoSuvrw3","UL8","spotify:artist:3IUSkU24GuugkT7GDUlP9b","Mark Fell","2010-12-20","https://i.scdn.co/image/ab67616d0000b2737d75815b14684a2a2b2d3fb7","1","6","480026","https://p.scdn.co/mp3-preview/427108ba875e9a4d83fdd6f2e070fef1ef2e1465?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ATE691011106","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4JphGeh8727UL3UQ4FQNNh","Carente de Amor - Acústico","spotify:artist:12kiggyMtZvgZjQuhmp6Xy","William & Bidiko","spotify:album:0unLkwfabtTfnq0IRKfTTr","William e Bidiko (Acústico)","spotify:artist:12kiggyMtZvgZjQuhmp6Xy","William & Bidiko","2018-01-01","https://i.scdn.co/image/ab67616d0000b273efa9c1e5974ee2b62cf5e4e9","1","5","155421","https://p.scdn.co/mp3-preview/21273c954542e99e2c457b390f4d07f04fdc8cd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZ5AB1850874","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4ADmX7jutXKHTkKlovYf2m","Ballad Jazz Soundtrack for Mellow Mornings","spotify:artist:4VKvjvqM03iTEQdXzo4gdI","Musique de Restaurant Chic","spotify:album:4qG6fxIUVbmteukU8oBiJY","Music for Mellow Mornings - Magnificent Jazz Ballad","spotify:artist:4VKvjvqM03iTEQdXzo4gdI","Musique de Restaurant Chic","2023-01-07","https://i.scdn.co/image/ab67616d0000b273d3757118b7e438b693b4ddba","1","14","125294","","false","0","QZRCW8161573","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5PF6BRyBmy09BI1BeSv8Wa","Run Boy Run","spotify:artist:1kV7ma5yMzGPWbIBWe9ooW","티어드랍","spotify:album:10x7kXPaVEmgxCmq7rTBw7","Beastology","spotify:artist:1kV7ma5yMzGPWbIBWe9ooW","티어드랍","2024-02-21","https://i.scdn.co/image/ab67616d0000b273eae8d29c034177d38133ee21","1","2","267146","https://p.scdn.co/mp3-preview/dce1b75ae08a48b068fb30f3d419b353e418ce02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USCGJ2419886","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5LkTJWukKZpmYQK2qZhLwL","Sonidos para la Relajación Mental","spotify:artist:2IAoPfVk1GInfIWeDHzi4g","Sol De Día","spotify:album:0N9qtw1T5k3dtoArN0tFDe","Lluvia y Paz: Música Tranquila con los Sonidos de la Naturaleza más Relajantes y Hermosos","spotify:artist:2IAoPfVk1GInfIWeDHzi4g","Sol De Día","2020-10-27","https://i.scdn.co/image/ab67616d0000b273fd9708ef1cff24026883b823","1","3","344000","https://p.scdn.co/mp3-preview/0daeb025df29ae5a1184feba9292b07cdfb06842?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITO102037977","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4iIF9mH7fhMLnZXjpxSfh0","Torn Apart","spotify:artist:6bAfGArUSSyFRdW7uF5lsv","Prodstyx","spotify:album:2ILOmhbBdrn5YkpnRppGYN","Prodstyx Komplete Kollektion","spotify:artist:6bAfGArUSSyFRdW7uF5lsv","Prodstyx","2020-03-22","https://i.scdn.co/image/ab67616d0000b27351ea928af21c069797640ed7","1","9","130240","","false","0","QZDA52015073","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:6m0HAfC6GYrgazQ8KFpLlA","Late Night Thunder and Rain","spotify:artist:08OOKsGT5DxThC0ZbzfOML","Thunderstorm and Rain Sound","spotify:album:3Dcfn8aWcFUllXs9WgRfn1","T H U N D E R!","spotify:artist:08OOKsGT5DxThC0ZbzfOML","Thunderstorm and Rain Sound","2023-09-21","https://i.scdn.co/image/ab67616d0000b2735e8182e7088060362e0a2fd8","1","8","365750","https://p.scdn.co/mp3-preview/e8af210cfae38968c313bacc5d54b59f439dadbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","PL44R2336139","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7Ls9WYU2IM6gUb2uCUFjfU","Awinu Malkenu - Instrumental Version","spotify:artist:1zZ0gNlrbBuGwFFJJwUWUh","Michoń/Hajduk","spotify:album:14tSttTqCmlFI8e3G96dJX","Nieistniejące","spotify:artist:1zZ0gNlrbBuGwFFJJwUWUh","Michoń/Hajduk","2024-05-15","https://i.scdn.co/image/ab67616d0000b273d9d8678de59feba368681b21","1","1","240885","https://p.scdn.co/mp3-preview/139d7d39e3b483fce8ce727e275ea7138a7daf03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKXN22414126","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3VpxanlPnzoT9VNGkqXg4P","Weightless Black Storm","spotify:artist:1tWg25uF3YbDkDUS2inT7l","Andrea Coco","spotify:album:1Ii9T373v05mfzOagkVrnU","Reverso","spotify:artist:1tWg25uF3YbDkDUS2inT7l","Andrea Coco","2016-04-17","https://i.scdn.co/image/ab67616d0000b273b7596114562cfb3b1b711365","1","3","162307","","false","0","FR10S1698840","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
