"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2re6FKxMAOBgQMl0V58U0p","How Long?","spotify:artist:0XJWvnyCnDWLFZH4R1aNVt","Nobody47","spotify:album:1y9TyKjahZtArIRZg89q2u","Suddenly","spotify:artist:0XJWvnyCnDWLFZH4R1aNVt","Nobody47","2021-01-23","https://i.scdn.co/image/ab67616d0000b27329250bd8334e1f460069c7cd","1","1","52620","https://p.scdn.co/mp3-preview/1de0d435327ee4d72076769ff08e43be5623b74e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QZFZ22193825","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:2YD16IfrlnbEOsIQyJLsSV","תהליל ליולדת","spotify:artist:3EQL62TTyZjlpKDr4k3vXJ","Youval Taieb","spotify:album:0RVTQXi6kIyR8NIK2pkhKp","תהליל","spotify:artist:3EQL62TTyZjlpKDr4k3vXJ","Youval Taieb","2014-01-01","https://i.scdn.co/image/ab67616d0000b2739e95762cd688b40af37cf896","1","5","330311","https://p.scdn.co/mp3-preview/a14829c8de3f4a94d7a9242db7ffdcaf10378a91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FRX991595319","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1me15zT6UeVlg8cyy2h4an","Fais pas cette tête là","spotify:artist:3oje7VFSEa4S9FSmuxyC5Q","Les sheriff","spotify:album:1rBEDV69auJ2Y1HbtTYLYL","Les 2 doigts dans la prise","spotify:artist:3oje7VFSEa4S9FSmuxyC5Q","Les sheriff","1988-01-01","https://i.scdn.co/image/ab67616d0000b273cdcf82b1ce3203b28f454d97","2","8","171800","https://p.scdn.co/mp3-preview/a9d7bf9480a42e5b8727e696cad7cc13f1ef634e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","FR6V80907937","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7lJbaFcKZgvs8psvHAdv86","Chile - Culture Smart! - The Essential Guide to Customs & Culture, Chapter 13","spotify:artist:5mRRpzosARSTNf2X1XkmKA","Caterina Perrone","spotify:album:3kFiM0DymGzWvt9jErK12r","Chile - Culture Smart! - The Essential Guide to Customs & Culture (Unabridged)","spotify:artist:5mRRpzosARSTNf2X1XkmKA","Caterina Perrone","2016-05-31","https://i.scdn.co/image/ab67616d0000b273c6cbd54e776da3c2e9e6c943","1","13","170513","","false","0","DEXN91858832","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:58hZyHc2RTF5DFa6syw6nu","Daramad Afshari","spotify:artist:0ddg5jUzA8On1zvedQ102U, spotify:artist:0aqrlKwdALNH69WSmGF7Xf","Shahram Mirjalali, Reza Torshizi","spotify:album:0OEZ22wt0eyJbzvazeuZuJ","Narges Fetan","spotify:artist:0ddg5jUzA8On1zvedQ102U, spotify:artist:0aqrlKwdALNH69WSmGF7Xf","Shahram Mirjalali, Reza Torshizi","2018-09-11","https://i.scdn.co/image/ab67616d0000b2735d78271fb024165bfe6b2852","1","9","134546","https://p.scdn.co/mp3-preview/5c1621f5100c48eccdd47d2ac63d0d16fd3d45ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM6N21844028","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:16NVUHX0Gz4I78BmzRThOi","I'm an Old Cowhand","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","spotify:album:1xHWXdZyz4NcY4E4hcSWFc","The Music Of","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","2016-04-29","https://i.scdn.co/image/ab67616d0000b273579d35aecf2a4524717c74e1","1","20","171906","","false","0","DEZ651371348","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:56t0Bb0P5BH9W18Y2R1XQw","Can I Ride Your Horse","spotify:artist:34gG1ZRsNDiVo7xF2PQgi3","Cong Shu","spotify:album:7CKe2uValqZjsYwupInB8K","Sun Breaking Western (Original Motion Picture Soundtrack)","spotify:artist:34gG1ZRsNDiVo7xF2PQgi3","Cong Shu","2016-08-26","https://i.scdn.co/image/ab67616d0000b2737109eca2fceee293fc1d8cdc","1","5","194011","","false","0","TCACR1641122","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3bHaK0ME0RHQQXqerGAae7","Fosterlandssånger","spotify:artist:6oR29GMMjXQ5aZCM8LwYB3","Anders F. Rönnblom","spotify:album:4BCGQ01U6kzcZUXmFgDe1Z","BLÄRK! Nya Fosterlandssånger","spotify:artist:6oR29GMMjXQ5aZCM8LwYB3","Anders F. Rönnblom","2019-09-27","https://i.scdn.co/image/ab67616d0000b273d3cb15dc239690bce5753a15","1","8","254426","https://p.scdn.co/mp3-preview/6b2731212cd2e0eba4be51c9e6ac13a3ef8fcb9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SE5HM1900108","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4viDdQ2ugrTM0F3hqdvnLA","Paretoume","spotify:artist:4tjR6D4OQlEx4um81ziGGw","Andreas Kapsis","spotify:album:0WeEcggbCphcqeHo7pWouu","Kardies pou agapane","spotify:artist:4tjR6D4OQlEx4um81ziGGw","Andreas Kapsis","1992-02-14","https://i.scdn.co/image/ab67616d0000b27344029409c0d20560ebfd5cff","1","5","223973","https://p.scdn.co/mp3-preview/a2a0bd061b4f83948b4a9c96b97f79b558497888?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM6MZ1913552","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:30E54k7KApDqSwWMa6kLOF","Fly with Me Seven","spotify:artist:73JMNOda9Bgo3dwsr6yIX6","Pinterpan","spotify:album:3xXqW1qUK2zQu4c5eREUHD","Fly with Me","spotify:artist:73JMNOda9Bgo3dwsr6yIX6","Pinterpan","2023-10-30","https://i.scdn.co/image/ab67616d0000b273e7aeb053d0c5671b06c0ee1c","1","9","82337","","false","0","AEA0Q2338687","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3aKleSlPjhPr9a2owUHbLc","Часть 18.4 & Часть 19.1 - Страшно трусливая история","spotify:artist:0VXUjKs4HEvWbDSe9p7B6B","Оксана Иванова","spotify:album:5GWWlX59jOCAyM5XIdnl3f","Страшно трусливая история","spotify:artist:0VXUjKs4HEvWbDSe9p7B6B","Оксана Иванова","2023-04-10","https://i.scdn.co/image/ab67616d0000b27346d0a35a8cde6d1c6fdb9c23","1","60","185597","","false","0","DEWM20170587","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3vN7xIUwOXUzuTQPB0P8u1","Protective","spotify:artist:2X3TjEBMwZtQPWu3zIeUya","STYGG","spotify:album:3zXfRvLDG6HjJk44vvfYc7","Get thee behind me Satan","spotify:artist:2X3TjEBMwZtQPWu3zIeUya","STYGG","2011-01-01","https://i.scdn.co/image/ab67616d0000b2730aa4a9ac5a216c01bc899248","1","8","194000","","false","0","SEVTP1000208","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:15Mkq2Qqd2fIclRXIdQ1Pg","Der Heilpraktiker","spotify:artist:6ij0pBgPIeVJ5JpokSGo8a","Schieflage","spotify:album:3xAFJg3hU2ssUjmqf2v390","Der Heilpraktiker","spotify:artist:6ij0pBgPIeVJ5JpokSGo8a","Schieflage","2021-02-21","https://i.scdn.co/image/ab67616d0000b273cfe381b5a7a5f8011f33ab77","1","1","179769","https://p.scdn.co/mp3-preview/eb65e6ac6e07fee5ab70f359244ee1ff0c4756bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NL4NL2111016","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:48gMdEGtQkFyAvBO4GcVfc","BY MY SIDE","spotify:artist:04aeTu0cAd3BqLygKtad5u","Hell Nell","spotify:album:3kJIp87aN9Nvp9PJl7ubKM","Out Of Nowhere","spotify:artist:04aeTu0cAd3BqLygKtad5u","Hell Nell","2022-11-29","https://i.scdn.co/image/ab67616d0000b2730bc4d20efaf2569ba2f8e896","1","4","119790","","true","0","QZNMZ2201379","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0wp2yqqwKOyOjlwr5xasKd","My Space - Original Mix","spotify:artist:365KmLRIkAyuJt4ijNHre7","Sergey Shturman","spotify:album:6oEzN03PHIUi35xtAv68CW","Dxm","spotify:artist:365KmLRIkAyuJt4ijNHre7","Sergey Shturman","2011","https://i.scdn.co/image/ab67616d0000b27398c10ceade5c5cba6c238ddd","1","2","406981","","false","0","RUA491119314","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5l8qBbWL7mY2FqGmCD6SJF","When You Lose Your Rock","spotify:artist:3cbmZ3ArzKL16zGTDbyIMd","Julie Taylor","spotify:album:5FMQ2HpDaT6q2Z7V8KHg8G","This Is Me","spotify:artist:3cbmZ3ArzKL16zGTDbyIMd","Julie Taylor","2012-09-03","https://i.scdn.co/image/ab67616d0000b27312cd768e7db4879307066e1f","1","12","223480","https://p.scdn.co/mp3-preview/f3a2bba83b64a084f5d58639e90d93909cbcb5da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ushm81283545","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4CaIi8ylOfEj0o5H0luWUs","Qite n'veti","spotify:artist:2HT6nAY7xqMEHfyYRzproq","Blerta Sopaj","spotify:album:5kwVK7ggeRsj5b9tXf1Ffm","Qite n'veti","spotify:artist:2HT6nAY7xqMEHfyYRzproq","Blerta Sopaj","2017-07-03","https://i.scdn.co/image/ab67616d0000b273e0ea481e7a9dc094ff887d36","1","1","226837","https://p.scdn.co/mp3-preview/041f7251ccd76cfa4c62ad8a44ccb6c0b789f534?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DE-TO4-16-79848","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7mqrl8C0wTIeW4k6M2I0aZ","Hasrat","spotify:artist:3WPeM9Gf2IzxIpQp4hLW7D","Swaranabya","spotify:album:5pmm3sa3GrleHPqhLfldmB","Tiga Suara","spotify:artist:3WPeM9Gf2IzxIpQp4hLW7D","Swaranabya","2017-11-26","https://i.scdn.co/image/ab67616d0000b27339a8304aa8694a3bb6153453","1","8","252010","https://p.scdn.co/mp3-preview/162554f1f57734e0025e81212beed4934c24d001?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRX201783355","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5KDvNEN7Ed5pUjQdBuBQLo","Brown Noise Violin & Cello - If You Can Love Me","spotify:artist:77uSsiobwUf9JcPk8Uk19c","Sleeping Babies Songs","spotify:album:2EF3z046slhWaD9mr5k3fo","Calming Strings & Brown Noise for Crying Babies","spotify:artist:77uSsiobwUf9JcPk8Uk19c","Sleeping Babies Songs","2022-03-30","https://i.scdn.co/image/ab67616d0000b273a5029709ed19e5216dffe9a8","1","10","241000","","false","0","PL52J2244535","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4VrljcLlShC6q4aeaU9X8k","Gerasom","spotify:artist:6syywN4FcSZEBwaEV7EsNq","Fruto Sensual","spotify:album:0DSx39Pm39cUC2tjgoILl9","Banda Fruto Sensual","spotify:artist:6syywN4FcSZEBwaEV7EsNq","Fruto Sensual","2020-03-04","https://i.scdn.co/image/ab67616d0000b273d97f19df43e295cd0686e618","1","14","185338","https://p.scdn.co/mp3-preview/92240b9ab9c219f6edae93dc8a7d7238505a5dfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USANG2030537","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0wl8Y9wtBKLhHOHfYPUSWZ","Часть 108.10 & Часть 109.1 - Пётр Первый","spotify:artist:1jfidjfrejvADEmO82DZ3b","Алексей Толстой","spotify:album:6nmmEDk3V5dr0RdU88R5HK","Пётр Первый","spotify:artist:1jfidjfrejvADEmO82DZ3b","Алексей Толстой","2020-09-07","https://i.scdn.co/image/ab67616d0000b273040555325ac148e9af7cb156","1","441","154045","","false","0","DEVP81679029","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1Yq5IbyCvuxtMIFGReUX7y","Live and Love in Paris","spotify:artist:2VpkYhv8khY46sHuMXrsAT, spotify:artist:2KFLecg2vCOBdzDPvfhX91, spotify:artist:3xdEz22fT69JQW6yLqjuWZ","Coffee House Classics, Coffee Shop Jazz Relax, Cafe Jazz Duo","spotify:album:3odPrZEGeMODlw0VR2tYDU","French Restaurant Dinner Jazz","spotify:artist:2VpkYhv8khY46sHuMXrsAT, spotify:artist:2KFLecg2vCOBdzDPvfhX91, spotify:artist:3xdEz22fT69JQW6yLqjuWZ","Coffee House Classics, Coffee Shop Jazz Relax, Cafe Jazz Duo","2023-01-25","https://i.scdn.co/image/ab67616d0000b2732ac52e2eb75c3a5fd1578b8c","1","5","190512","","false","0","PL44R2289530","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0EEBZt380yH0z330SWRIpl","Qvet","spotify:artist:4IS77Vxio6mjcTeDcJuSV3","Turnpark","spotify:album:3eFRUeTrlV3CFujMFbWAPd","Turnkey 2","spotify:artist:4IS77Vxio6mjcTeDcJuSV3","Turnpark","2017-06-09","https://i.scdn.co/image/ab67616d0000b273713b72e55863c304bdd69b11","1","2","210038","","false","0","GB-SMU-37-92617","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0kicAVj88My3cF2H45FVLs","Rain's Calming Night","spotify:artist:0ErVLcvfTuHqGKJK4dvf1U, spotify:artist:2wLI1xOvWFV2ZqMW4C5GId, spotify:artist:17dhUzylJyV8BKYs5WXBYK","Dreamlandia, Rain Soundzzz Club, Zen Mindwaves","spotify:album:2wMcouXx1kQHNhZO0bYzY2","Sleep Sound in Rain: Gentle Night Music","spotify:artist:0ErVLcvfTuHqGKJK4dvf1U, spotify:artist:2wLI1xOvWFV2ZqMW4C5GId, spotify:artist:17dhUzylJyV8BKYs5WXBYK","Dreamlandia, Rain Soundzzz Club, Zen Mindwaves","2024-05-02","https://i.scdn.co/image/ab67616d0000b27319271e092c0e67fcae7fd796","1","2","120000","","false","0","QZTRX2403947","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:46od2wBkWgzbNtvp0SvhS3","Medley O Sole Mio, Santa Lucia, Tarantella","spotify:artist:3tY8DXpX9TBHVavJtG84Wu","Los Violines Magicos De Villafontana","spotify:album:3RRlsrZPeKf8QgcgSQ5MSS","Rubrica De Amor","spotify:artist:3tY8DXpX9TBHVavJtG84Wu","Los Violines Magicos De Villafontana","2023-07-14","https://i.scdn.co/image/ab67616d0000b273553bf5b36ddbec2bbf7f754b","1","5","301700","","false","0","ITDD82303738","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0s0lAP4NGazzbEax7N6SH9","Tonio's Song","spotify:artist:0z6JCohbSAverfDDucZCnt","LP Septet","spotify:album:6xMhBbBBKGCFzQ2543x1t2","Tonio's Song","spotify:artist:0z6JCohbSAverfDDucZCnt","LP Septet","2019-11-08","https://i.scdn.co/image/ab67616d0000b273e2ef9a3cf57adc7ded802ff0","1","1","404000","https://p.scdn.co/mp3-preview/778fcbb9836aa12ac34b6ee5745e6d0ffa2b3f3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","CH6541779043","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1YYfsMg4AuN37g8fEFr5z6","O. She must live","spotify:artist:0Z0BAqVt43ScvzobpDfbWX","CHERKSIS","spotify:album:5YjF2YtaqGB4tYVwFn4jto","O. She must live","spotify:artist:0Z0BAqVt43ScvzobpDfbWX","CHERKSIS","2024-01-15","https://i.scdn.co/image/ab67616d0000b273935f10d8775faac34b058773","1","1","141738","https://p.scdn.co/mp3-preview/20b6d29b192850839914eb1930d4048587473465?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","UKEX32363001","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3uolNqSMPyqXDr5KxxSwCb","Healing White Airplane Noise","spotify:artist:3cHSeOi2MxNZUTNCGy0cTX, spotify:artist:05SQdvEHpau8DDsuG8rJC2, spotify:artist:3YCmithYsaLHcwV6DLUV9G, spotify:artist:01sGJEY9ANjYq8Vh6Ph5kG","Sleepy Luke, Rainy Luke, Ambient Luke, Luke Rain Sounds","spotify:album:6tJpC4H1nBau4tmE6LmVq0","White Noise - Time for Baby Sleep","spotify:artist:3cHSeOi2MxNZUTNCGy0cTX","Sleepy Luke","2021-11-20","https://i.scdn.co/image/ab67616d0000b273b5b298bb37d398dfe96932cf","1","13","96000","","false","5","SE52N2129713","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3OwlapFehPTRMaSb1p7znc","In This Story","spotify:artist:6GgPMZ9hojzn9qr07yudDJ","Cooking Daddy","spotify:album:7JwBgHUrMf9dcIYfSp5wZP","本を読みながら聴きたい音楽","spotify:artist:6GgPMZ9hojzn9qr07yudDJ","Cooking Daddy","2023-02-10","https://i.scdn.co/image/ab67616d0000b2732368028a115449f9c7a276fc","1","1","125589","","false","0","PLH492320206","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5C9l8WZf1F6fWD3LdklYnO","Let's Get Over This","spotify:artist:7sflwfJnN3ObUongbBQ068","Sharkscope","spotify:album:6hiIOW5QZdaHm1vdZfFHI4","Let's Get Over This","spotify:artist:7sflwfJnN3ObUongbBQ068","Sharkscope","2020-06-09","https://i.scdn.co/image/ab67616d0000b273f687bf569c9feb370b687cb4","1","1","188169","","false","0","QZHN62047768","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:587wvZ0JMzZiRdTujOOZxl","Million to One (From ""Cinderella"") [16-Bit Camila Cabello Emulation]","spotify:artist:1v4YnufenjE9BLAfP90qvt","Arcade Player","spotify:album:15q5N7DbmyPkpptsYoRJ4j","The Impossible Game Soundtrack, Vol. 71","spotify:artist:1v4YnufenjE9BLAfP90qvt","Arcade Player","2021-10-06","https://i.scdn.co/image/ab67616d0000b273b5822aa3c2c26c1ee5e13156","1","46","187025","https://p.scdn.co/mp3-preview/bddf7b745691878d478f0cbdba5dfaddcbc7bd7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AUXN22199041","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:6Bp2ubIHAYYqeJYkSkK51e","Bonanza","spotify:artist:6omI8YZabY0r5UxICDkGby","Ludwig Zibell","spotify:album:27KIkIZONWGCQxJXqAuhZe","Pale Fairy, You Don't Know Bonanza","spotify:artist:6omI8YZabY0r5UxICDkGby","Ludwig Zibell","2016-06-10","https://i.scdn.co/image/ab67616d0000b2734abe73eb8b623f0c3950cd59","1","2","562446","https://p.scdn.co/mp3-preview/baded4cb37f49cbb38a48c8423af7406de4450a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","DEAR41624664","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:360VbtH4GkdSBFCBXfU1bk","IZaya For some","spotify:artist:4UvQcVPH7QxMYc51uRO5Hs","TrulyKursed","spotify:album:6p7rKlOKvI3LKQLGzY5fjL","2100 shyt","spotify:artist:4UvQcVPH7QxMYc51uRO5Hs","TrulyKursed","2020-10-17","https://i.scdn.co/image/ab67616d0000b2736b6e0092f32cbe110aa9f4ee","1","5","80062","","true","0","QZNMT2075669","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7dJaYctgwi8gMMD1PCXthT","The Modern Day Duke","spotify:artist:79yRI9owshqH4OvY5vL5Va","Fresh Green","spotify:album:10f7RGp2gLaIFeOjFrHVLC","静かな音楽で集中力を高める","spotify:artist:79yRI9owshqH4OvY5vL5Va","Fresh Green","2022-10-26","https://i.scdn.co/image/ab67616d0000b273c9fb2ac7b4447e50da1971a1","1","30","119152","","false","0","PL06V2207743","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1bjU0JO1xb3CHK1jetCh0r","Cello Suite No. 6 in D Major, BWV 1012: VII. Gigue","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:7aq7N2758Ivi8PrIngConr","Johann Sebastian Bach, Saeunn Thorsteinsdottir","spotify:album:2Dj4lMd1Xpcw4SV0N3hwjM","Marrow","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:7aq7N2758Ivi8PrIngConr","Johann Sebastian Bach, Saeunn Thorsteinsdottir","2023-06-23","https://i.scdn.co/image/ab67616d0000b2736e35c8f51e89c250f1a8e7b6","1","36","146300","https://p.scdn.co/mp3-preview/0486d7bd9e790818766855d9e3d4297a16d9c4aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USKC62326336","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4Aue9mSaDwVd2b93CGZ1qb","DA UMA SENTADA DAQUELA NERVOSA CB - FUNK","spotify:artist:7t8Wlh4cMLdWYVPMy9DDaI, spotify:artist:61D91jaLW3TozO0R8who7i","BRYAN DE ANDRADE SIMIAO, Thiago silva do cb","spotify:album:4p5vc4SfCqmgJQobcYb9OT","FAIXAS DO CAMPO BELO","spotify:artist:1GRzZ41yd0wyidvu0rv7JK, spotify:artist:3IQHgXnAAlBgsBSJbZ3uvp","DJ BILHA DO CAMPO BELO, DJ TH Silva","2024-04-22","https://i.scdn.co/image/ab67616d0000b27314f3cb15568f7208eafa4082","1","2","111050","","true","0","GBWUL2489078","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4dpTN47WIhEWF4bjm4Mibh","Stuck In a Lock Groove","spotify:artist:3euxXTX6KdKGg5ljc592yw","Oranger","spotify:album:7GoymzL0qjUgFKLBf9ztwB","Everyone Says You're Lots of Fun","spotify:artist:3euxXTX6KdKGg5ljc592yw","Oranger","2023-01-14","https://i.scdn.co/image/ab67616d0000b27379b0abd0066fe7297c9bf2d0","1","5","136797","https://p.scdn.co/mp3-preview/8db45d8d4c5d7a60d98299572ec568800caecf31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZFZ22339510","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0WQ8gigwybtV4o3E2W4P87","Street Corner Serendipity","spotify:artist:0FMeVLTlakQCY0kW82okbN","Another Cool Ensemble","spotify:album:3BzsIodhQvC55EYJnNS1XO","おしゃれカフェでのんびりする時間","spotify:artist:0FMeVLTlakQCY0kW82okbN","Another Cool Ensemble","2024-03-04","https://i.scdn.co/image/ab67616d0000b27300edcd9282519a5b0bd1c8c8","1","7","118556","","false","0","JPY892465432","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7nc3IXvUmnqERwCcsQXLEh","Terra Nova","spotify:artist:0PBxcquW0AlC7krVXePrBe","No Living Witness","spotify:album:5JS8NGMgZkohmarxPsGvSp","Cosmic Simulacra","spotify:artist:0PBxcquW0AlC7krVXePrBe","No Living Witness","2021-07-02","https://i.scdn.co/image/ab67616d0000b273d047295f0d8b8ad0f870a90c","1","7","410441","https://p.scdn.co/mp3-preview/e7215507f098721dfd3d97272d48c7647a99fc98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usdy42197957","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:13Xv9IFNU4inCKxFS5Pp0A","Oceanic Lullaby","spotify:artist:0C8IiVqsZoLNxR6vWlAVHC","GM Melodious Sound","spotify:album:1Uqrhla24Pub7WYbYI46Le","GM Whimsical Symphony","spotify:artist:0C8IiVqsZoLNxR6vWlAVHC","GM Melodious Sound","2023-05-30","https://i.scdn.co/image/ab67616d0000b2739155f748ad762ed70ba9872e","1","14","153401","","false","0","QZK6H2374453","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0YqAGdtaj4zRWfnWdfuQXG","Villancico: No soy yo","spotify:artist:7zcwtgxeHkX3wMn7kygxFY, spotify:artist:1z3LaWnAKdVViClAti7dI6, spotify:artist:3YrdD7Lnsa9TSfxhddN9uC, spotify:artist:058IdS53AKQsDMjJAzhcYM, spotify:artist:1nmlFZ8KmGd5Op3TIC2OwA","Anonyme, Le Poème Harmonique, Vincent Dumestre, Claire Lefilliâtre, Isabelle Druet","spotify:album:75pUOcZc0LFSG2vjfGcAUn","Briceño: El Fenix de Paris","spotify:artist:1z3LaWnAKdVViClAti7dI6, spotify:artist:3YrdD7Lnsa9TSfxhddN9uC","Le Poème Harmonique, Vincent Dumestre","2011-10-10","https://i.scdn.co/image/ab67616d0000b27329be5f63eb945348b997439f","1","8","199653","https://p.scdn.co/mp3-preview/b1a204920fd8ca7f177b6e1eec91f788ad1bb949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FR50X1118208","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1W8OX2NTV2kgFAvFi9UKzS","Zero","spotify:artist:24GMZc399Dn18gXrOftZB6","Micah Marine","spotify:album:3ypzLY7vIfFkEvJQH5gwr8","23 (Extended Version)","spotify:artist:24GMZc399Dn18gXrOftZB6","Micah Marine","2021-05-08","https://i.scdn.co/image/ab67616d0000b273a344d5476b8800049dc67498","1","4","166437","https://p.scdn.co/mp3-preview/7a7daae87a9a874f19e0a06e08e68c8c411473d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZGWX2175933","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5Ig5G99KsKDvrBJ2n2lINn","PuleK","spotify:artist:4mCTQAR3xMsfczOxrYIQGp","245522coding","spotify:album:3c1rJ6agpzj5BhbDS6nA3Z","Away With The Wind","spotify:artist:4mCTQAR3xMsfczOxrYIQGp","245522coding","2021-12-29","https://i.scdn.co/image/ab67616d0000b273385cd0d0f3aefc7e001279d5","1","2","90670","","false","0","QZNVL2176221","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5HAYeFMCYMsPWslocHNtSY","Neon","spotify:artist:75al2ktGxuokfj1QFO53ue","pequeño joselo","spotify:album:2SY0IzA91zOV8fV5QGUb3I","Neon","spotify:artist:75al2ktGxuokfj1QFO53ue","pequeño joselo","2022-08-07","https://i.scdn.co/image/ab67616d0000b2730718fb2d58bb27f7a2008a44","1","1","153230","","true","0","QZNJY2258878","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5uJ9jD4ACOzpw1Udd5uqpC","Wings Up","spotify:artist:4BbgUqwlWpqdczkPniPvyK","Tori Prickett","spotify:album:0kq5GeqTHM1wxsesENrT9W","Wings Up","spotify:artist:4BbgUqwlWpqdczkPniPvyK","Tori Prickett","2023-12-22","https://i.scdn.co/image/ab67616d0000b2737ec0622cdc8668514d857a45","1","1","193896","https://p.scdn.co/mp3-preview/301fb581284696b41fba5d60d7d21add25db2c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QZWFL2389417","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
